"","LANG","ITEM","spec.know","spec.unkn","irr.nonsp","question","condit","indir.neg","dir.neg","compar","free.ch","neg.frag","Haspelmath","type"
"505","fl7","fl7-1",0,0,0,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"3","fl7","fl7-2",0,1,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"245","fl7","fl7-3",0,0,1,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"21","fl7","fl7-4",1,0,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"189","fl8","fl8-1",0,0,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"495","fl8","fl8-2",0,1,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"2391","fl8","fl8-3",0,1,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"433","fl8","fl8-4",0,0,0,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"1005","fl8","fl8-5",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"509","fl9","fl9-1",0,0,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"761","fl9","fl9-2",0,0,0,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"159","fl9","fl9-3",0,1,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"122","fl10","fl10-1",1,0,0,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"22","fl10","fl10-2",1,0,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"247","fl10","fl10-3",0,1,1,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"1891","fl10","fl10-4",0,0,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"241","fl10","fl10-5",0,0,0,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"634","fl11","fl11-1",1,0,0,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"2392","fl12","fl12-1",0,1,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"1751","fl12","fl12-2",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"581","fl12","fl12-3",1,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"413","fl12","fl12-4",0,0,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"651","fl13","fl13-1",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"1772","fl14","fl14-1",0,0,0,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"1001","fl14","fl14-2",0,0,0,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"259","fl14","fl14-3",0,1,0,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"121","fl14","fl14-4",0,0,0,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"839","fl15","fl15-1",0,1,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"253","fl15","fl15-2",0,0,1,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"4951","fl15","fl15-3",0,1,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"415","fl15","fl15-4",0,1,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"4952","fl15","fl15-5",0,1,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"578","fl16","fl16-1",1,0,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"10151","fl17","fl17-1",0,1,1,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"1211","fl17","fl17-2",0,0,0,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"1021","fl18","fl18-1",0,0,1,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"10131","fl19","fl19-1",0,0,1,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"447","fl19","fl19-2",0,1,1,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"1752","fl19","fl19-3",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"6341","fl19","fl19-4",1,0,0,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"5051","fl19","fl19-5",0,0,0,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"261","fl19","fl19-6",0,0,1,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"68","fl20","fl20-1",1,1,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"489","fl21","fl21-1",0,0,0,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"745","fl22","fl22-1",0,0,0,1,0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"1009","fl22","fl22-2",0,0,0,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"10231","fl22","fl22-3",0,1,1,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"6342","fl22","fl22-4",1,0,0,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"640","fl22","fl22-5",1,1,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"497","fl23","fl23-1",0,0,0,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"263","fl23","fl23-2",0,1,1,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"571","fl23","fl23-3",0,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"61","fl23","fl23-4",0,0,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"63","fl23","fl23-5",0,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"64","fl23","fl23-6",1,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"409","fl24","fl24-1",0,0,0,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"327","fl25","fl25-1",0,1,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"7571","fl25","fl25-2",0,0,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"4131","fl25","fl25-3",0,0,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"4","fl25","fl25-4",1,1,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"1753","fl25","fl25-5",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"6372","fl25","fl25-6",0,0,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"759","fl25","fl25-7",0,1,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"5781","fl26","fl26-1",1,0,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"3251","fl26","fl26-2",0,0,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"128","fl27","fl27-1",1,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"5111","fl28","fl28-1",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"1007","fl28","fl28-2",0,1,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"7","fl28","fl28-3",0,1,1,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"4132","fl28","fl28-4",0,0,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"681","fl28","fl28-5",1,1,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"577","fl29","fl29-1",0,0,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"5841","fl29","fl29-2",1,1,1,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"4091","fl29","fl29-3",0,0,0,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"4932","fl30","fl30-1",0,0,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"2611","fl30","fl30-2",0,0,1,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"5112","fl30","fl30-3",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"639","fl30","fl30-4",0,1,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"652","fl30","fl30-5",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"4151","fl30","fl30-6",0,1,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"257","fl30","fl30-7",0,0,0,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"7611","fl31","fl31-1",0,0,0,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"653","fl31","fl31-2",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"2531","fl31","fl31-3",0,0,1,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"3271","fl32","fl32-1",0,1,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"4933","fl32","fl32-2",0,0,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"4891","fl33","fl33-1",0,0,0,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"445","fl33","fl33-2",0,0,1,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"503","fl34","fl34-1",0,1,1,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"4092","fl35","fl35-1",0,0,0,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"2411","fl35","fl35-2",0,0,0,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"5091","fl35","fl35-3",0,0,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"833","fl35","fl35-4",0,0,0,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"7572","fl35","fl35-5",0,0,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"5031","fl36","fl36-1",0,1,1,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"169","fl36","fl36-2",0,0,0,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"255","fl36","fl36-3",0,1,1,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"5113","fl36","fl36-4",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"4971","fl36","fl36-5",0,0,0,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"191","fl36","fl36-6",0,1,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"10051","fl36","fl36-7",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"2591","fl37","fl37-1",0,1,0,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"1754","fl37","fl37-2",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"1832","fl37","fl37-3",0,1,1,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"2631","fl38","fl38-1",0,1,1,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"661","fl38","fl38-2",1,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"579","fl38","fl38-3",0,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"7591","fl39","fl39-1",0,1,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"5114","fl39","fl39-2",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"8331","fl40","fl40-1",0,0,0,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"4411","fl40","fl40-2",0,0,0,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"5115","fl40","fl40-3",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"69","fl40","fl40-4",0,0,1,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"767","fl40","fl40-5",0,1,1,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"4093","fl40","fl40-6",0,0,0,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"157","fl40","fl40-7",0,0,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"1755","fl41","fl41-1",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"1892","fl41","fl41-2",0,0,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"765","fl42","fl42-1",0,0,1,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"10091","fl42","fl42-2",0,0,0,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"682","fl42","fl42-3",1,1,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"4331","fl42","fl42-4",0,0,0,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"753","fl42","fl42-5",0,0,0,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"10071","fl43","fl43-1",0,1,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"6391","fl43","fl43-2",0,1,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"4133","fl43","fl43-3",0,0,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"501","fl44","fl44-1",0,0,1,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"7592","fl44","fl44-2",0,1,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"437","fl44","fl44-3",0,0,1,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"4953","fl44","fl44-4",0,1,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"1893","fl44","fl44-5",0,0,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"1571","fl44","fl44-6",0,0,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"691","fl44","fl44-7",0,0,1,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"1691","fl45","fl45-1",0,0,0,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"4094","fl45","fl45-2",0,0,0,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"431","fl46","fl46-1",0,1,1,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"654","fl47","fl47-1",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"641","fl47","fl47-2",1,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"5116","fl47","fl47-3",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"4471","fl48","fl48-1",0,1,1,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"5842","fl48","fl48-2",1,1,1,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"611","fl48","fl48-3",0,0,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"5","fl48","fl48-4",0,0,1,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"249","fl49","fl49-1",0,0,0,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"173","fl50","fl50-1",0,0,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"1572","fl50","fl50-2",0,0,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"41","fl50","fl50-3",1,1,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"2532","fl50","fl50-4",0,0,1,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"1573","fl50","fl50-5",0,0,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"5052","fl51","fl51-1",0,0,0,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"5117","fl51","fl51-2",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"10232","fl51","fl51-3",0,1,1,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"1221","fl51","fl51-4",1,0,0,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"3272","fl51","fl51-5",0,1,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"4412","fl51","fl51-6",0,0,0,1,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"8391","fl52","fl52-1",0,1,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"1281","fl52","fl52-2",1,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"4152","fl52","fl52-3",0,1,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"7593","fl52","fl52-4",0,1,1,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"10052","fl52","fl52-5",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"1773","fl52","fl52-6",0,0,0,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"7651","fl53","fl53-1",0,0,1,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"5791","fl53","fl53-2",0,1,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"237","fl54","fl54-1",0,0,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"631","fl54","fl54-2",0,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"6401","fl54","fl54-3",1,1,1,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"572","fl54","fl54-4",0,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"655","fl54","fl54-5",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"837","fl54","fl54-6",0,0,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"3252","fl55","fl55-1",0,0,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"5118","fl55","fl55-2",0,1,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"5092","fl55","fl55-3",0,0,1,1,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"425","fl56","fl56-1",0,0,0,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"10053","fl56","fl56-2",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"1282","fl56","fl56-3",1,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"71","fl57","fl57-1",0,1,1,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"2412","fl57","fl57-2",0,0,0,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"835","fl57","fl57-3",0,1,0,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"2371","fl57","fl57-4",0,0,1,1,0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"8","fl57","fl57-5",1,1,1,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"323","fl57","fl57-6",0,1,0,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"4251","fl58","fl58-1",0,0,0,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"1222","fl59","fl59-1",1,0,0,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"4095","fl60","fl60-1",0,0,0,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"10092","fl60","fl60-2",0,0,0,0,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"8351","fl60","fl60-3",0,1,0,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"1894","fl61","fl61-1",0,0,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"5771","fl61","fl61-2",0,0,0,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"5011","fl61","fl61-3",0,0,1,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"573","fl61","fl61-4",0,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"10054","fl61","fl61-5",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"185","fl62","fl62-1",0,0,0,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"656","fl62","fl62-2",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"5032","fl62","fl62-3",0,1,1,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"1017","fl62","fl62-4",0,0,0,1,1,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"23","fl62","fl62-5",1,0,0,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"4954","fl62","fl62-6",0,1,1,1,0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"4391","fl62","fl62-7",0,1,1,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"662","fl63","fl63-1",1,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"642","fl63","fl63-2",1,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"582","fl63","fl63-3",1,0,0,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"1574","fl63","fl63-4",0,0,1,1,1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"2471","fl63","fl63-5",0,1,1,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"1223","fl63","fl63-6",1,0,0,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"1895","fl63","fl63-7",0,0,1,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"643","fl64","fl64-1",1,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"3253","fl64","fl64-2",0,0,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"1851","fl64","fl64-3",0,0,0,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"2551","fl65","fl65-1",0,1,1,1,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"72","fl65","fl65-2",0,1,1,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"721","fl65","fl65-3",1,1,1,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"4332","fl65","fl65-4",0,0,0,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"1271","fl65","fl65-5",0,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"1283","fl65","fl65-6",1,1,1,1,1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"8371","fl66","fl66-1",0,0,1,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"7531","fl66","fl66-2",0,0,0,0,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"4371","fl66","fl66-3",0,0,1,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"7491","fl66","fl66-4",0,0,1,1,0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"6343","fl67","fl67-1",1,0,0,1,1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"4252","fl67","fl67-2",0,0,0,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"2612","fl67","fl67-3",0,0,1,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"8352","fl67","fl67-4",0,1,0,0,0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"10055","fl67","fl67-5",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"81","fl68","fl68-1",1,1,1,0,0,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"4333","fl68","fl68-2",0,0,0,0,1,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"632","fl68","fl68-3",0,1,1,1,1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"1833","fl68","fl68-4",0,1,1,0,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"2472","fl69","fl69-1",0,1,1,0,1,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"10056","fl69","fl69-2",0,0,1,1,0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"657","fl69","fl69-3",0,0,0,0,0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"2571","fl69","fl69-4",0,0,0,0,0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"1852","fl69","fl69-5",0,0,0,1,1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"5843","fl70","fl70-1",1,1,1,0,0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"429","fl71","fl71-1",0,0,1,1,0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"4134","fl71","fl71-2",0,0,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"7652","fl71","fl71-3",0,0,1,1,1,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"1731","fl71","fl71-4",0,0,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"3254","fl71","fl71-5",0,0,1,0,0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"4972","fl72","fl72-1",0,0,0,0,1,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"4135","fl72","fl72-2",0,0,1,1,1,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"1756","fl72","fl72-3",0,1,1,1,0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
