"LANG","ITEM","skflavor","suflavor","nsflavor","npiflavor","fciflavor","nqflavor","type"
"fl28","fl28-2",0,0,1,0,1,1,"artificial"
"fl28","fl28-3",0,1,1,1,1,1,"artificial"
"fl28","fl28-4",0,1,0,0,0,1,"artificial"
"fl28","fl28-5",1,1,1,0,1,0,"artificial"
"fl29","fl29-1",1,1,0,0,0,0,"artificial"
"fl29","fl29-2",1,1,1,1,1,1,"artificial"
"fl29","fl29-3",0,1,1,0,1,1,"artificial"
"fl29","fl29-4",0,0,1,1,0,1,"artificial"
"fl29","fl29-5",1,1,0,1,1,0,"artificial"
"fl29","fl29-6",1,1,1,1,1,0,"artificial"
"fl29","fl29-7",0,1,1,1,1,1,"artificial"
"fl30","fl30-1",0,1,1,0,1,1,"artificial"
"fl31","fl31-1",1,1,1,1,0,0,"artificial"
"fl31","fl31-2",0,0,1,0,1,1,"artificial"
"fl32","fl32-1",1,0,0,0,0,0,"artificial"
"fl32","fl32-2",1,1,0,1,1,1,"artificial"
"fl32","fl32-3",1,1,1,0,1,0,"artificial"
"fl32","fl32-4",1,1,1,1,1,1,"artificial"
"fl32","fl32-5",0,0,1,1,1,1,"artificial"
"fl32","fl32-6",0,0,0,0,1,1,"artificial"
"fl33","fl33-1",1,1,0,1,0,0,"artificial"
"fl33","fl33-2",0,1,0,1,1,1,"artificial"
"fl33","fl33-3",0,1,1,0,0,0,"artificial"
"fl33","fl33-4",1,0,0,0,1,0,"artificial"
"fl34","fl34-1",0,0,0,0,1,0,"artificial"
"fl35","fl35-1",0,1,0,1,0,0,"artificial"
"fl36","fl36-1",1,1,0,0,0,1,"artificial"
"fl36","fl36-2",0,0,1,1,0,0,"artificial"
"fl36","fl36-3",0,0,0,0,1,1,"artificial"
"fl36","fl36-4",0,0,1,0,0,0,"artificial"
"fl36","fl36-5",1,0,0,0,0,1,"artificial"
"fl37","fl37-1",1,0,0,0,1,1,"artificial"
"fl38","fl38-1",0,1,1,1,1,0,"artificial"
"fl39","fl39-1",0,1,0,1,0,0,"artificial"
"fl39","fl39-2",0,0,1,0,1,0,"artificial"
"fl39","fl39-3",0,0,1,1,1,0,"artificial"
"fl39","fl39-4",1,0,0,0,0,0,"artificial"
"fl39","fl39-5",0,1,1,1,0,0,"artificial"
"fl39","fl39-6",0,0,0,0,1,1,"artificial"
"fl40","fl40-1",0,0,0,1,1,1,"artificial"
"fl41","fl41-1",0,0,1,1,1,1,"artificial"
"fl41","fl41-2",0,1,0,1,0,0,"artificial"
"fl41","fl41-3",0,1,1,0,0,0,"artificial"
"fl41","fl41-4",1,1,0,1,1,1,"artificial"
"fl41","fl41-5",0,0,0,1,1,1,"artificial"
"fl41","fl41-6",1,1,0,0,1,1,"artificial"
"fl41","fl41-7",1,1,1,1,0,1,"artificial"
"fl42","fl42-1",1,0,1,1,0,0,"artificial"
"fl42","fl42-2",0,0,1,0,0,0,"artificial"
"fl42","fl42-3",0,1,0,1,1,1,"artificial"
"fl42","fl42-4",1,1,1,0,1,1,"artificial"
"fl42","fl42-5",0,1,0,0,0,1,"artificial"
"fl42","fl42-6",1,1,0,1,1,1,"artificial"
"fl43","fl43-1",0,1,1,0,1,0,"artificial"
"fl43","fl43-2",1,1,1,0,0,1,"artificial"
"fl43","fl43-3",0,0,1,1,1,0,"artificial"
"fl43","fl43-4",1,0,1,0,1,0,"artificial"
"fl43","fl43-5",0,1,1,0,0,1,"artificial"
"fl43","fl43-6",0,0,1,1,1,1,"artificial"
"fl43","fl43-7",0,1,1,0,1,1,"artificial"
"fl44","fl44-1",0,0,1,1,1,0,"artificial"
"fl44","fl44-2",1,0,0,1,1,0,"artificial"
"fl44","fl44-3",1,0,0,0,1,0,"artificial"
"fl45","fl45-1",1,0,1,0,1,0,"artificial"
"fl45","fl45-2",0,0,1,1,0,1,"artificial"
"fl46","fl46-1",1,0,0,1,1,0,"artificial"
"fl46","fl46-2",0,1,1,1,1,0,"artificial"
"fl46","fl46-3",0,1,0,0,0,1,"artificial"
"fl46","fl46-4",1,1,0,0,1,1,"artificial"
"fl46","fl46-5",0,0,0,1,1,1,"artificial"
"fl46","fl46-6",1,0,1,0,0,0,"artificial"
"fl47","fl47-1",1,1,0,0,0,1,"artificial"
"fl47","fl47-2",0,0,1,0,0,0,"artificial"
"fl48","fl48-1",0,1,0,1,0,0,"artificial"
"fl48","fl48-2",0,0,0,0,1,0,"artificial"
"fl48","fl48-3",0,0,1,1,0,0,"artificial"
"fl48","fl48-4",1,0,0,1,1,1,"artificial"
"fl48","fl48-5",1,1,0,1,1,0,"artificial"
"fl49","fl49-1",0,0,0,1,0,1,"artificial"
"fl49","fl49-2",0,1,0,0,0,0,"artificial"
"fl49","fl49-3",0,1,1,1,0,0,"artificial"
"fl49","fl49-4",1,0,1,0,1,1,"artificial"
"fl49","fl49-5",0,1,0,1,1,1,"artificial"
"fl49","fl49-6",0,1,0,0,0,0,"artificial"
"fl50","fl50-1",1,0,0,0,1,0,"artificial"
"fl50","fl50-2",1,1,0,1,0,0,"artificial"
"fl51","fl51-1",0,1,0,0,0,1,"artificial"
"fl51","fl51-2",1,0,1,0,0,0,"artificial"
"fl51","fl51-3",1,0,0,0,0,1,"artificial"
"fl51","fl51-4",1,0,1,1,0,1,"artificial"
"fl51","fl51-5",0,0,0,0,1,0,"artificial"
"fl51","fl51-6",0,1,0,0,1,1,"artificial"
"fl52","fl52-1",1,0,1,1,1,0,"artificial"
"fl53","fl53-1",0,1,1,0,1,0,"artificial"
"fl53","fl53-2",0,0,1,1,1,1,"artificial"
"fl53","fl53-3",1,1,0,1,0,0,"artificial"
"fl53","fl53-4",1,0,1,0,1,1,"artificial"
"fl53","fl53-5",0,1,0,1,0,1,"artificial"
"fl53","fl53-6",1,0,1,1,1,1,"artificial"
"fl54","fl54-1",1,1,1,0,0,1,"artificial"
"fl54","fl54-2",1,1,0,0,1,1,"artificial"
"fl54","fl54-3",1,0,1,1,0,1,"artificial"
"fl54","fl54-4",1,0,0,0,1,0,"artificial"
"fl54","fl54-5",0,1,1,1,1,0,"artificial"
"fl54","fl54-6",1,0,0,0,1,0,"artificial"
"fl54","fl54-7",0,0,0,0,1,0,"artificial"
"fl55","fl55-1",1,0,1,1,0,1,"artificial"
"fl55","fl55-2",0,1,1,0,0,1,"artificial"
"fl55","fl55-3",1,1,0,1,1,1,"artificial"
"fl55","fl55-4",1,1,1,0,0,1,"artificial"
"fl55","fl55-5",1,0,0,0,0,0,"artificial"
"fl55","fl55-6",0,1,1,1,1,0,"artificial"
"fl56","fl56-1",0,1,1,0,0,1,"artificial"
"fl56","fl56-2",0,1,0,0,0,0,"artificial"
"fl56","fl56-3",0,0,0,1,1,1,"artificial"
"fl57","fl57-1",0,1,0,1,1,0,"artificial"
"fl57","fl57-2",0,0,0,1,1,1,"artificial"
"fl57","fl57-3",1,0,0,0,1,1,"artificial"
"fl57","fl57-4",1,1,1,1,1,1,"artificial"
"fl57","fl57-5",1,1,1,1,0,0,"artificial"
"fl57","fl57-6",1,1,1,1,1,0,"artificial"
"fl58","fl58-1",1,1,0,0,0,0,"artificial"
"fl58","fl58-2",0,0,0,1,1,0,"artificial"
"fl59","fl59-1",1,1,0,1,1,0,"artificial"
"fl59","fl59-2",1,0,0,0,0,1,"artificial"
"fl60","fl60-1",1,1,0,1,1,0,"artificial"
"fl60","fl60-2",0,1,0,1,0,1,"artificial"
"fl60","fl60-3",0,0,1,1,0,0,"artificial"
"fl61","fl61-1",1,1,1,1,1,0,"artificial"
"fl61","fl61-2",0,0,1,1,1,1,"artificial"
"fl61","fl61-3",0,0,1,0,0,0,"artificial"
"fl61","fl61-4",1,0,1,1,1,1,"artificial"
"fl61","fl61-5",1,0,0,0,1,0,"artificial"
"fl62","fl62-1",0,1,1,1,0,1,"artificial"
"fl62","fl62-2",0,1,1,1,0,0,"artificial"
"fl62","fl62-3",1,1,0,0,0,0,"artificial"
"fl63","fl63-1",1,1,1,1,0,1,"artificial"
"fl63","fl63-2",1,1,0,1,0,0,"artificial"
"fl63","fl63-3",0,0,1,0,1,1,"artificial"
"fl63","fl63-4",1,0,1,0,1,1,"artificial"
"fl63","fl63-5",1,0,1,1,0,0,"artificial"
"fl63","fl63-6",1,1,0,0,1,1,"artificial"
"fl63","fl63-7",1,0,1,1,0,1,"artificial"
"fl64","fl64-1",1,1,0,1,0,0,"artificial"
"fl64","fl64-2",1,0,1,0,1,0,"artificial"
"fl64","fl64-3",1,0,0,1,0,1,"artificial"
"fl64","fl64-4",1,1,1,1,0,0,"artificial"
"fl64","fl64-5",1,0,0,0,0,1,"artificial"
"fl65","fl65-1",1,1,0,0,0,0,"artificial"
"fl65","fl65-2",1,0,1,0,0,0,"artificial"
"fl65","fl65-3",0,1,0,0,1,0,"artificial"
"fl65","fl65-4",1,0,0,1,0,1,"artificial"
"fl65","fl65-5",1,0,0,0,1,0,"artificial"
"fl65","fl65-6",1,0,0,0,1,0,"artificial"
"fl65","fl65-7",1,1,0,1,0,0,"artificial"
"fl66","fl66-1",1,1,1,0,1,1,"artificial"
"fl66","fl66-2",0,1,0,0,0,0,"artificial"
"fl66","fl66-3",0,0,0,0,1,0,"artificial"
"fl66","fl66-4",1,1,0,1,0,1,"artificial"
"fl66","fl66-5",0,1,1,1,1,0,"artificial"
"fl66","fl66-6",1,0,0,0,1,1,"artificial"
"fl66","fl66-7",1,1,0,1,0,0,"artificial"
"fl67","fl67-1",0,1,0,0,0,1,"artificial"
"fl67","fl67-2",0,1,1,1,0,0,"artificial"
"fl67","fl67-3",1,1,0,0,0,0,"artificial"
"fl67","fl67-4",0,1,0,0,1,1,"artificial"
"fl68","fl68-1",1,0,1,0,1,1,"artificial"
"fl68","fl68-2",0,0,0,1,1,1,"artificial"
"fl68","fl68-3",1,0,0,1,0,0,"artificial"
"fl68","fl68-4",0,0,1,0,0,0,"artificial"
"fl69","fl69-1",1,0,1,0,1,0,"artificial"
"fl69","fl69-2",0,0,0,1,1,1,"artificial"
"fl69","fl69-3",0,1,1,0,0,0,"artificial"
"fl69","fl69-4",1,0,0,1,0,0,"artificial"
"fl69","fl69-5",0,1,0,1,0,1,"artificial"
"fl69","fl69-6",0,1,1,0,0,1,"artificial"
"fl69","fl69-7",1,0,0,0,1,0,"artificial"
"fl70","fl70-1",0,0,1,1,1,0,"artificial"
"fl71","fl71-1",0,0,1,1,1,1,"artificial"
"fl72","fl72-1",0,0,0,0,1,1,"artificial"
"fl72","fl72-2",1,1,1,1,0,1,"artificial"
"fl72","fl72-3",0,0,0,0,1,0,"artificial"
"fl72","fl72-4",0,0,0,0,0,1,"artificial"
"fl73","fl73-1",0,0,1,1,0,1,"artificial"
"fl73","fl73-2",1,0,0,0,1,1,"artificial"
"fl74","fl74-1",1,1,1,1,0,0,"artificial"
"fl75","fl75-1",1,0,0,0,1,0,"artificial"
"fl75","fl75-2",1,0,0,1,1,0,"artificial"
"fl75","fl75-3",0,1,0,1,1,1,"artificial"
"fl75","fl75-4",0,0,1,1,0,0,"artificial"
"fl75","fl75-5",0,1,0,0,0,1,"artificial"
"fl75","fl75-6",1,0,1,1,1,1,"artificial"
"fl76","fl76-1",0,0,0,1,0,0,"artificial"
"fl76","fl76-2",1,0,1,1,0,1,"artificial"
"fl76","fl76-3",1,0,0,0,0,1,"artificial"
"fl76","fl76-4",1,0,0,1,0,0,"artificial"
"fl77","fl77-1",0,1,1,1,1,0,"artificial"
"fl78","fl78-1",0,1,0,0,1,1,"artificial"
"fl78","fl78-2",1,0,0,0,1,1,"artificial"
"fl78","fl78-3",0,0,0,1,0,0,"artificial"
"fl78","fl78-4",1,1,1,1,0,0,"artificial"
"fl79","fl79-1",0,0,0,1,0,0,"artificial"
"fl79","fl79-2",1,0,1,0,0,0,"artificial"
"fl79","fl79-3",0,1,0,0,0,1,"artificial"
"fl79","fl79-4",0,0,0,0,0,1,"artificial"
"fl79","fl79-5",1,0,0,1,0,0,"artificial"
"fl79","fl79-6",0,1,1,1,1,1,"artificial"
"fl80","fl80-1",0,0,1,0,1,1,"artificial"
"fl80","fl80-2",1,1,0,1,0,0,"artificial"
"fl80","fl80-3",1,0,1,0,1,0,"artificial"
"fl80","fl80-4",1,1,1,1,1,0,"artificial"
"fl80","fl80-5",0,0,0,1,1,0,"artificial"
"fl80","fl80-6",1,0,0,1,1,0,"artificial"
"fl80","fl80-7",1,1,1,1,0,0,"artificial"
"fl81","fl81-1",1,1,1,1,1,0,"artificial"
"fl82","fl82-1",1,0,0,0,1,1,"artificial"
"fl82","fl82-2",1,1,1,1,0,1,"artificial"
"fl82","fl82-3",1,0,0,1,1,1,"artificial"
"fl83","fl83-1",1,1,0,0,1,0,"artificial"
"fl83","fl83-2",1,0,1,0,1,1,"artificial"
"fl83","fl83-3",1,0,0,1,1,1,"artificial"
"fl83","fl83-4",1,1,1,1,1,0,"artificial"
"fl83","fl83-5",0,1,1,0,1,0,"artificial"
"fl83","fl83-6",1,0,1,0,1,1,"artificial"
"fl84","fl84-1",1,1,0,0,1,1,"artificial"
"fl85","fl85-1",1,0,1,1,1,1,"artificial"
"fl85","fl85-2",1,1,1,1,1,0,"artificial"
"fl85","fl85-3",1,1,1,1,0,1,"artificial"
"fl85","fl85-4",1,0,1,1,1,1,"artificial"
"fl85","fl85-5",0,0,1,0,1,1,"artificial"
"fl86","fl86-1",0,0,0,0,1,1,"artificial"
"fl86","fl86-2",1,0,1,0,1,0,"artificial"
"fl86","fl86-3",0,1,0,1,1,0,"artificial"
"fl86","fl86-4",0,1,1,1,0,0,"artificial"
"fl86","fl86-5",0,0,1,0,1,0,"artificial"
"fl87","fl87-1",0,0,1,0,1,1,"artificial"
"fl87","fl87-2",0,1,1,0,1,1,"artificial"
"fl87","fl87-3",1,0,1,0,0,1,"artificial"
"fl88","fl88-1",1,0,0,1,1,0,"artificial"
"fl89","fl89-1",1,0,1,1,0,1,"artificial"
"fl89","fl89-2",0,0,0,0,1,0,"artificial"
"fl89","fl89-3",0,0,0,1,0,0,"artificial"
"fl89","fl89-4",0,0,1,0,1,0,"artificial"
"fl90","fl90-1",0,1,0,0,1,1,"artificial"
"fl90","fl90-2",1,1,0,1,0,1,"artificial"
"fl90","fl90-3",1,1,0,0,0,0,"artificial"
"fl91","fl91-1",1,0,1,0,0,0,"artificial"
"fl91","fl91-2",1,0,1,1,1,1,"artificial"
"fl91","fl91-3",0,1,1,1,1,1,"artificial"
"fl91","fl91-4",1,0,1,0,0,0,"artificial"
"fl91","fl91-5",1,0,0,0,0,1,"artificial"
"fl91","fl91-6",0,0,1,1,1,1,"artificial"
"fl92","fl92-1",0,0,1,0,1,1,"artificial"
"fl92","fl92-2",1,0,0,0,1,0,"artificial"
"fl93","fl93-1",0,1,1,1,0,1,"artificial"
"fl93","fl93-2",1,1,1,0,0,1,"artificial"
"fl93","fl93-3",0,1,0,1,1,0,"artificial"
"fl93","fl93-4",0,0,0,0,1,0,"artificial"
"fl94","fl94-1",0,1,0,1,0,0,"artificial"
"fl94","fl94-2",1,0,1,0,0,0,"artificial"
"fl94","fl94-3",1,1,0,1,0,0,"artificial"
"fl94","fl94-4",1,1,0,0,0,1,"artificial"
"fl95","fl95-1",1,0,0,0,1,0,"artificial"
"fl95","fl95-2",0,1,0,1,0,1,"artificial"
"fl95","fl95-3",0,1,1,0,1,1,"artificial"
"fl95","fl95-4",1,0,0,0,0,1,"artificial"
"fl95","fl95-5",0,0,1,0,0,0,"artificial"
"fl95","fl95-6",0,0,1,0,0,0,"artificial"
"fl95","fl95-7",1,0,0,1,0,1,"artificial"
"fl96","fl96-1",0,1,0,0,1,1,"artificial"
"fl96","fl96-2",0,0,0,1,1,1,"artificial"
"fl96","fl96-3",0,1,0,1,0,0,"artificial"
"fl97","fl97-1",1,1,1,1,1,1,"artificial"
"fl97","fl97-2",1,1,1,1,0,1,"artificial"
"fl97","fl97-3",0,0,0,0,1,0,"artificial"
"fl97","fl97-4",0,0,1,0,0,0,"artificial"
"fl97","fl97-5",0,1,0,0,1,1,"artificial"
"fl97","fl97-6",0,0,0,1,0,1,"artificial"
"fl97","fl97-7",0,1,0,0,0,1,"artificial"
"fl98","fl98-1",1,0,0,0,0,1,"artificial"
"fl98","fl98-2",1,1,0,0,0,0,"artificial"
"fl98","fl98-3",1,0,0,1,1,0,"artificial"
"fl98","fl98-4",1,0,0,0,1,1,"artificial"
"fl98","fl98-5",0,1,1,1,0,1,"artificial"
"fl99","fl99-1",0,0,0,1,0,1,"artificial"
"fl99","fl99-2",0,1,0,0,0,0,"artificial"
"fl99","fl99-3",0,0,1,0,0,0,"artificial"
"fl99","fl99-4",1,0,1,1,0,0,"artificial"
"fl99","fl99-5",0,0,0,1,0,1,"artificial"
"fl99","fl99-6",0,1,0,1,0,1,"artificial"
"fl100","fl100-1",0,0,0,0,1,0,"artificial"
"fl100","fl100-2",0,0,0,1,1,0,"artificial"
"fl100","fl100-3",1,0,1,1,0,0,"artificial"
"fl100","fl100-4",1,1,0,0,1,0,"artificial"
"fl101","fl101-1",0,1,0,1,0,1,"artificial"
"fl101","fl101-2",1,0,1,0,0,1,"artificial"
"fl101","fl101-3",1,0,0,0,1,1,"artificial"
"fl101","fl101-4",1,1,0,1,1,0,"artificial"
"fl102","fl102-1",0,1,1,0,0,0,"artificial"
"fl103","fl103-1",1,1,0,1,1,1,"artificial"
"fl103","fl103-2",1,1,1,1,0,0,"artificial"
"fl103","fl103-3",0,1,1,1,1,1,"artificial"
"fl103","fl103-4",1,1,0,1,0,0,"artificial"
"fl103","fl103-5",1,1,1,0,1,0,"artificial"
"fl103","fl103-6",1,0,1,0,0,0,"artificial"
"fl104","fl104-1",1,0,1,1,0,1,"artificial"
"fl105","fl105-1",1,0,0,0,1,1,"artificial"
"fl105","fl105-2",1,0,1,0,1,1,"artificial"
"fl105","fl105-3",1,0,1,1,1,1,"artificial"
"fl105","fl105-4",1,1,0,0,0,0,"artificial"
"fl105","fl105-5",1,1,0,1,1,0,"artificial"
"fl105","fl105-6",1,1,1,1,0,1,"artificial"
"fl105","fl105-7",0,1,1,0,1,0,"artificial"
"fl106","fl106-1",1,1,0,1,1,0,"artificial"
"fl106","fl106-2",0,1,1,0,0,1,"artificial"
"fl106","fl106-3",0,0,0,1,1,1,"artificial"
"fl106","fl106-4",1,1,1,1,0,0,"artificial"
"fl107","fl107-1",1,0,1,1,1,0,"artificial"
"fl107","fl107-2",1,1,0,1,0,1,"artificial"
"fl107","fl107-3",0,1,1,1,1,0,"artificial"
"fl107","fl107-4",1,1,0,0,0,1,"artificial"
"fl108","fl108-1",1,0,0,1,0,1,"artificial"
"fl108","fl108-2",0,0,1,1,1,1,"artificial"
"fl108","fl108-3",0,0,1,0,1,0,"artificial"
"fl109","fl109-1",0,1,0,1,1,0,"artificial"
"fl109","fl109-2",1,1,1,1,1,0,"artificial"
"fl109","fl109-3",1,0,0,0,1,0,"artificial"
"fl109","fl109-4",0,0,0,0,1,1,"artificial"
"fl109","fl109-5",1,0,0,1,0,1,"artificial"
"fl110","fl110-1",0,1,1,0,0,0,"artificial"
"fl110","fl110-2",0,1,0,0,1,1,"artificial"
"fl110","fl110-3",1,1,0,0,0,1,"artificial"
"fl110","fl110-4",1,0,0,1,1,0,"artificial"
"fl111","fl111-1",0,1,1,1,1,1,"artificial"
"fl111","fl111-2",1,0,0,1,1,0,"artificial"
"fl111","fl111-3",0,0,0,1,0,1,"artificial"
"fl111","fl111-4",0,1,1,1,0,0,"artificial"
"fl111","fl111-5",1,0,1,1,1,0,"artificial"
"fl111","fl111-6",1,1,0,1,0,0,"artificial"
"fl112","fl112-1",1,1,0,1,0,0,"artificial"
"fl112","fl112-2",1,1,1,0,1,1,"artificial"
"fl112","fl112-3",0,0,1,0,1,0,"artificial"
"fl112","fl112-4",1,1,1,0,0,1,"artificial"
"fl112","fl112-5",1,1,1,1,0,0,"artificial"
"fl113","fl113-1",0,1,0,1,1,0,"artificial"
"fl113","fl113-2",0,0,0,1,1,1,"artificial"
"fl113","fl113-3",0,1,1,0,0,0,"artificial"
"fl113","fl113-4",1,1,1,1,1,0,"artificial"
"fl113","fl113-5",1,0,1,0,1,0,"artificial"
"fl113","fl113-6",1,0,1,1,0,0,"artificial"
"fl114","fl114-1",0,1,1,1,1,1,"artificial"
"fl114","fl114-2",0,1,1,1,0,1,"artificial"
"fl114","fl114-3",0,0,1,0,0,1,"artificial"
"fl114","fl114-4",0,0,0,1,1,1,"artificial"
"fl115","fl115-1",0,0,1,1,0,1,"artificial"
"fl115","fl115-2",1,0,0,0,1,1,"artificial"
"fl116","fl116-1",0,0,1,0,0,0,"artificial"
"fl117","fl117-1",0,1,0,0,1,1,"artificial"
"fl117","fl117-2",1,1,1,1,1,1,"artificial"
"fl117","fl117-3",1,1,0,0,1,0,"artificial"
"fl118","fl118-1",1,1,0,0,1,0,"artificial"
"fl118","fl118-2",1,1,0,1,1,1,"artificial"
"fl118","fl118-3",0,0,1,0,1,1,"artificial"
"fl118","fl118-4",0,0,0,0,1,0,"artificial"
"fl119","fl119-1",0,1,1,1,0,1,"artificial"
"fl119","fl119-2",0,1,1,0,1,1,"artificial"
"fl119","fl119-3",0,0,1,0,1,1,"artificial"
"fl119","fl119-4",0,0,1,0,0,1,"artificial"
"fl119","fl119-5",1,1,0,0,1,0,"artificial"
"fl119","fl119-6",1,0,1,1,0,1,"artificial"
"fl119","fl119-7",0,1,1,1,0,1,"artificial"
"fl120","fl120-1",1,1,1,0,1,0,"artificial"
"fl120","fl120-2",0,0,0,1,1,1,"artificial"
"fl120","fl120-3",0,0,1,1,0,1,"artificial"
"fl120","fl120-4",1,0,0,0,0,1,"artificial"
"fl120","fl120-5",0,0,1,1,1,1,"artificial"
"fl120","fl120-6",0,0,0,0,1,1,"artificial"
"fl120","fl120-7",0,1,0,1,0,1,"artificial"
"fl121","fl121-1",1,1,1,0,1,1,"artificial"
"fl121","fl121-2",0,1,1,1,0,1,"artificial"
"fl121","fl121-3",0,1,1,0,0,0,"artificial"
